"NDB_No"|"FdGrp_Cd"|"Long_Desc"|"Shrt_Desc"|"ComName"|"ManufacName"
"20314"|"2000"|"Corn, white"|"CORN,WHITE"||
"20315"|"2000"|"Corn flour, whole-grain, blue (harina de maiz morado)"|"CORN FLR,WHOLE-GRAIN,BLUE (HARINA DE MAIZ MORADO)"||
"20316"|"2000"|"Corn flour, whole-grain, white"|"CORN FLR,WHOLE-GRAIN,WHITE"||
"20317"|"2000"|"Corn flour, masa, enriched, yellow"|"CORN FLR,MASA,ENR,YEL"||
"20320"|"2000"|"Cornmeal, whole-grain, white"|"CORNMEAL,WHOLE-GRAIN,WHITE"||
"20321"|"2000"|"Spaghetti, cooked, enriched, with added salt"|"SPAGHETTI,CKD,ENR,W/ SALT"||
"20322"|"2000"|"Cornmeal, degermed, enriched, white"|"CORNMEAL,DEGERMED,ENR,WHITE"||
"20323"|"2000"|"Cornmeal, self-rising, bolted, plain, enriched, white"|"CORNMEAL,SELF-RISING,BOLTED,PLN,ENR,WHITE"||
"20324"|"2000"|"Cornmeal, self-rising, bolted, with wheat flour added, enriched, white"|"CORNMEAL,SELF-RISING,BOLTED,W/WHEAT FLR,ENR,WHITE"||
"20325"|"2000"|"Cornmeal, self-rising, degermed, enriched, white"|"CORNMEAL,SELF-RISING,DEGERMED,ENR,WHITE"||
"20330"|"2000"|"Hominy, canned, yellow"|"HOMINY,CANNED,YELLOW"||
"20345"|"2000"|"Rice, white, long-grain, regular, cooked, enriched, with salt"|"RICE,WHITE,LONG-GRAIN,REG,CKD,ENR,W/SALT"||
"20381"|"2000"|"Wheat flour, white, all-purpose, enriched, calcium-fortified"|"WHEAT FLR,WHITE,ALL-PURPOSE,ENR,CALCIUM-FORTIFIED"||
"20400"|"2000"|"Macaroni, cooked, unenriched"|"MACARONI,CKD,UNENR"||
"20409"|"2000"|"Noodles, egg, dry, unenriched"|"NOODLES,EGG,DRY,UNENR"||
"20410"|"2000"|"Noodles, egg, cooked, unenriched, without added salt"|"NOODLES,EGG,CKD,UNENR,WO/ SALT"||
"20420"|"2000"|"Spaghetti, dry, unenriched"|"SPAGHETTI,DRY,UNENRICHED"||
"20421"|"2000"|"Spaghetti, cooked, unenriched, without added salt"|"SPAGHETTI,CKD,UNENR,WO/ SALT"||
"20422"|"2000"|"Cornmeal, degermed, unenriched, yellow"|"CORNMEAL,DEGERMED,UNENR,YEL"||
"20444"|"2000"|"Rice, white, long-grain, regular, raw, unenriched"|"RICE,WHITE,LONG-GRAIN,REG,RAW,UNENR"||
"20445"|"2000"|"Rice, white, long-grain, regular, cooked, unenriched, without salt"|"RICE,WHITE,LONG-GRAIN,REG,CKD,UNENR,WO/SALT"||
"20446"|"2000"|"Rice, white, long-grain, parboiled, unenriched, dry"|"RICE,WHITE,LONG-GRAIN,PARBLD,UNENR,DRY"||
"20447"|"2000"|"Rice, white, long-grain, parboiled, unenriched, cooked"|"RICE,WHITE,LONG-GRAIN,PARBLD,UNENR,CKD"||
"20450"|"2000"|"Rice, white, medium-grain, raw, unenriched"|"RICE,WHITE,MEDIUM-GRAIN,RAW,UNENR"||
"20451"|"2000"|"Rice, white, medium-grain, cooked, unenriched"|"RICE,WHITE,MEDIUM-GRAIN,CKD,UNENR"||
"20452"|"2000"|"Rice, white, short-grain, raw, unenriched"|"RICE,WHITE,SHORT-GRAIN,RAW,UNENR"||
"20453"|"2000"|"Rice, white, short-grain, cooked, unenriched"|"RICE,WHITE,SHORT-GRAIN,CKD,UNENR"||
"20466"|"2000"|"Semolina, unenriched"|"SEMOLINA,UNENRICHED"||
"20481"|"2000"|"Wheat flour, white, all-purpose, unenriched"|"WHEAT FLR,WHITE,ALL-PURPOSE,UNENR"||
"20499"|"2000"|"Macaroni, dry, unenriched"|"MACARONI,DRY,UNENRICHED"||
"20510"|"2000"|"Noodles, egg, cooked, unenriched, with added salt"|"NOODLES,EGG,CKD,UNENR,W/ SALT"||
"20521"|"2000"|"Spaghetti, cooked, unenriched, with added salt"|"SPAGHETTI,CKD,UNENR,W/ SALT"||
"20522"|"2000"|"Cornmeal, degermed, unenriched, white"|"CORNMEAL,DEGERMED,UNENR,WHITE"||
"20523"|"2000"|"Spaghetti, protein-fortified, cooked, enriched (n x 6.25)"|"SPAGHETTI,PROTEIN-FORTIFIED,CKD,ENR (N X 6.25)"||
"20545"|"2000"|"Rice, white, long-grain, regular, cooked, unenriched, with salt"|"RICE,WHITE,LONG-GRAIN,REG,CKD,UNENR,W/SALT"||
"20581"|"2000"|"Wheat flour, white, all-purpose, enriched, unbleached"|"WHEAT FLR,WHITE,ALL-PURPOSE,ENR,UNBLEACHED"||
"20622"|"2000"|"Spaghetti, protein-fortified, dry, enriched (n x 6.25)"|"SPAGHETTI,PROTEIN-FORTIFIED,DRY,ENR (N X 6.25)"||
"20623"|"2000"|"Wheat flour, white (industrial), 9% protein, bleached, enriched"|"WHEAT FLR,WHITE (INDUSTRIAL),9% PROT,BLEACHED,ENR"||
"20624"|"2000"|"Wheat flour, white (industrial), 9% protein, bleached, unenriched"|"WHEAT FLR,WHITE (INDUSTRIAL),9% PROT,BLEACHED,UNENR"||
"20628"|"2000"|"Wheat flour, white (industrial), 10% protein, bleached, enriched"|"WHEAT FLR,WHITE (INDUSTRIAL),10% PROT,BLEACHED,ENR"||
"20629"|"2000"|"Wheat flour, white (industrial), 10% protein, bleached, unenriched"|"WHEAT FLR,WHITE (INDUSTRIAL),10% PROT,BLEACHED,UNENR"||
"20630"|"2000"|"Wheat flour, white (industrial), 10% protein, unbleached, enriched"|"WHEAT FLR,WHITE (INDUSTRIAL),10% PROT,UNBLEACHED,ENR"||
"20634"|"2000"|"Wheat flour, white (industrial), 11.5% protein, bleached, enriched"|"WHEAT FLR,WHITE (INDUSTRIAL),11.5% PROT,BLEACHED,ENR"||
